,songs,albums,links
0,"<strong><a href=""/lyric/13856247/Adele/Crazy+for+You"">Crazy for You</a></strong>",19 [2008],https://www.lyrics.com/lyric/13856247/Adele/Crazy+for+You
1,"<strong><a href=""/lyric/13856243/Adele/Daydreamer"">Daydreamer</a></strong>",19 [2008],https://www.lyrics.com/lyric/13856243/Adele/Daydreamer
2,"<strong><a href=""/lyric/13856249/Adele/First+Love"">First Love</a></strong>",19 [2008],https://www.lyrics.com/lyric/13856249/Adele/First+Love
3,"<strong><a href=""/lyric/13856254/Adele/Hometown+Glory"">Hometown Glory</a></strong>",19 [2008],https://www.lyrics.com/lyric/13856254/Adele/Hometown+Glory
4,"<strong><a href=""/lyric/13856251/Adele/Make+You+Feel+My+Love"">Make You Feel My Love</a></strong>",19 [2008],https://www.lyrics.com/lyric/13856251/Adele/Make+You+Feel+My+Love
5,"<strong><a href=""/lyric/13856248/Adele/Melt+My+Heart+to+Stone"">Melt My Heart to Stone</a></strong>",19 [2008],https://www.lyrics.com/lyric/13856248/Adele/Melt+My+Heart+to+Stone
6,"<strong><a href=""/lyric/13856252/Adele/My+Same"">My Same</a></strong>",19 [2008],https://www.lyrics.com/lyric/13856252/Adele/My+Same
7,"<strong><a href=""/lyric/13856250/Adele/Right+as+Rain"">Right as Rain</a></strong>",19 [2008],https://www.lyrics.com/lyric/13856250/Adele/Right+as+Rain
8,"<strong><a href=""/lyric/13856253/Adele/Tired"">Tired</a></strong>",19 [2008],https://www.lyrics.com/lyric/13856253/Adele/Tired
9,"<strong><a href=""/lyric/14257143/Adele/My+Same+%5BLive%5D%5B%2A%5D"">My Same [Live][*]</a></strong>",19 [Bonus CD] [2008],https://www.lyrics.com/lyric/14257143/Adele/My+Same+%5BLive%5D%5B%2A%5D
10,"<strong><a href=""/lyric/14257144/Adele/That%27s+It%2C+I+Quit%2C+I%27m+Moving+On+%5BLive%5D%5B%2A%5D"">That's It, I Quit, I'm Moving On [Live][*]</a></strong>",19 [Bonus CD] [2008],https://www.lyrics.com/lyric/14257144/Adele/That%27s+It%2C+I+Quit%2C+I%27m+Moving+On+%5BLive%5D%5B%2A%5D
11,"<strong><a href=""/lyric/19021290/The+Raconteurs/Many+Shades+of+Black+%5B%2A%5D"">Many Shades of Black [*]</a></strong>",19 [Deluxe Edition] [2008],https://www.lyrics.com/lyric/19021290/The+Raconteurs/Many+Shades+of+Black+%5B%2A%5D
12,"<strong><a href=""/lyric/19021288/Adele/My+Same+%5BLive+at+Bimbos%2C+San+Francisco%5D+%5BNorth+American+Tour+Film%5D+%5BLiv"">My Same [Live at Bimbos, San Francisco] [North American Tour Film] [Liv</a></strong>",19 [Deluxe Edition] [2008],https://www.lyrics.com/lyric/19021288/Adele/My+Same+%5BLive+at+Bimbos%2C+San+Francisco%5D+%5BNorth+American+Tour+Film%5D+%5BLiv
13,"<strong><a href=""/lyric/19021289/Adele/Right+as+Rain+%5BLive+at+Roxy%2C+Los+Angeles%5D+%5BNorth+American+Tour+Film%5D+%5BL"">Right as Rain [Live at Roxy, Los Angeles] [North American Tour Film] [L</a></strong>",19 [Deluxe Edition] [2008],https://www.lyrics.com/lyric/19021289/Adele/Right+as+Rain+%5BLive+at+Roxy%2C+Los+Angeles%5D+%5BNorth+American+Tour+Film%5D+%5BL
14,"<strong><a href=""/lyric/13951449/Adele/That%27s+It%2C+I+Quit%2C+I%27m+Moving+On+%5B%2A%5D"">That's It, I Quit, I'm Moving On [*]</a></strong>",19 [Japan Bonus Tracks] [2008],https://www.lyrics.com/lyric/13951449/Adele/That%27s+It%2C+I+Quit%2C+I%27m+Moving+On+%5B%2A%5D
15,"<strong><a href=""/lyric/22724185/Adele/I%27ll+Be+Waiting"">I'll Be Waiting</a></strong>",21 [2011],https://www.lyrics.com/lyric/22724185/Adele/I%27ll+Be+Waiting
16,"<strong><a href=""/lyric/22724183/Adele/Lovesong"">Lovesong</a></strong>",21 [2011],https://www.lyrics.com/lyric/22724183/Adele/Lovesong
17,"<strong><a href=""/lyric/22724184/Adele/One+and+Only"">One and Only</a></strong>",21 [2011],https://www.lyrics.com/lyric/22724184/Adele/One+and+Only
18,"<strong><a href=""/lyric/22724192/Adele/Rolling+in+the+Deep"">Rolling in the Deep</a></strong>",21 [2011],https://www.lyrics.com/lyric/22724192/Adele/Rolling+in+the+Deep
19,"<strong><a href=""/lyric/22724191/Adele/Rumour+Has+It"">Rumour Has It</a></strong>",21 [2011],https://www.lyrics.com/lyric/22724191/Adele/Rumour+Has+It
20,"<strong><a href=""/lyric/22724188/Adele/Set+Fire+to+the+Rain"">Set Fire to the Rain</a></strong>",21 [2011],https://www.lyrics.com/lyric/22724188/Adele/Set+Fire+to+the+Rain
21,"<strong><a href=""/lyric/22724182/Adele/Someone+Like+You"">Someone Like You</a></strong>",21 [2011],https://www.lyrics.com/lyric/22724182/Adele/Someone+Like+You
22,"<strong><a href=""/lyric/22724186/Adele/Take+It+All"">Take It All</a></strong>",21 [2011],https://www.lyrics.com/lyric/22724186/Adele/Take+It+All
23,"<strong><a href=""/lyric/22724190/Adele/Turning+Tables"">Turning Tables</a></strong>",21 [2011],https://www.lyrics.com/lyric/22724190/Adele/Turning+Tables
24,"<strong><a href=""/lyric/25117146/Adele/Set+Fire+to+the+Rain+%5BLive+at+the+Royal+Albert+Hall%5D+%5BDolby+Digital+5.1"">Set Fire to the Rain [Live at the Royal Albert Hall] [Dolby Digital 5.1</a></strong>",Live at the Royal Albert Hall [DVD+CD] [2011],https://www.lyrics.com/lyric/25117146/Adele/Set+Fire+to+the+Rain+%5BLive+at+the+Royal+Albert+Hall%5D+%5BDolby+Digital+5.1
25,"<strong><a href=""/lyric/25019429/Adele/Rolling+in+the+Deep+%5BLive%5D"">Rolling in the Deep [Live]</a></strong>",iTunes Festival: London 2011 [2011],https://www.lyrics.com/lyric/25019429/Adele/Rolling+in+the+Deep+%5BLive%5D
26,"<strong><a href=""/lyric/25019432/Adele/Rumour+Has+It+%5BLive%5D"">Rumour Has It [Live]</a></strong>",iTunes Festival: London 2011 [2011],https://www.lyrics.com/lyric/25019432/Adele/Rumour+Has+It+%5BLive%5D
27,"<strong><a href=""/lyric/25019431/Adele/Take+It+All+%5BLive%5D"">Take It All [Live]</a></strong>",iTunes Festival: London 2011 [2011],https://www.lyrics.com/lyric/25019431/Adele/Take+It+All+%5BLive%5D
