"","year","ndvi_nw","ndvi_se","ndvi_sw","precipitation_amt_mm","reanalysis_air_temp_k","reanalysis_avg_temp_k","reanalysis_dew_point_temp_k","reanalysis_max_air_temp_k","reanalysis_min_air_temp_k","reanalysis_precip_amt_kg_per_m2","reanalysis_relative_humidity_percent","reanalysis_sat_precip_amt_mm","reanalysis_specific_humidity_g_per_kg","reanalysis_tdtr_k","station_avg_temp_c","station_diur_temp_rng_c","station_max_temp_c","station_min_temp_c","station_precip_mm","weekofyear","total_cases","city"
"1",2000,0.235372743461538,0.312195442307692,0.256272805,47.6226923076923,298.675714285731,-519.343076923077,293.788186813192,309.55,291.911538461538,18.6507692307692,77.5906043956038,47.6226923076923,15.3833516483538,12.4780219780142,27.2460439560462,11.8103846153885,34.2615384615385,20.3230769230769,37.88,38.5,0.153846153846154,"iq"
"2",2001,0.244792530769231,0.246822951538462,0.291276238461538,62.3840384615385,297.549148351692,-520.614423076923,294.981098901115,307.421153846154,292.482692307692,63.7259615384615,87.6733516483481,62.3840384615385,16.5611813186788,9.44532967033442,27.254799999998,11.0717,34.0057692307692,20.4509803921569,49.3607843137255,26.5,0.269230769230769,"iq"
"3",2002,0.227552749215686,0.241520867647059,0.256168956078431,58.3471153846154,297.649368131904,-520.603076923077,295.245576922962,306.940384615385,292.623076923077,50.9859615384615,88.4573351648327,58.3471153846154,16.8400274725269,9.18543956043827,27.4254761904755,10.9065986394516,33.8865384615385,21.075,56.4882352941176,26.5,13.5384615384615,"iq"
"4",2003,0.230382337884615,0.243427730769231,0.263798982692308,65.5157692307692,297.603516483577,-520.6075,295.360054945058,306.990384615385,292.446153846154,66.3692307692308,89.2218681318692,65.5157692307692,16.946620879125,9.01346153845846,27.825424836602,10.1900653594759,34.1634615384615,21.7557692307692,79.1038461538461,26.5,2.19230769230769,"iq"
"5",2004,0.237196518461538,0.228656376923077,0.258989461538462,66.8035294117647,297.798459383706,-520.357254901961,295.651120448216,306.805882352941,292.86862745098,47.2392156862745,89.6566106442569,66.8035294117647,17.2348459383745,9.24005602240765,27.6009469696955,9.99075757575773,33.7755102040816,21.508,72.5588235294118,26.5,12.2692307692308,"iq"
"6",2005,0.244041405882353,0.263128245098039,0.267162276470588,61.3660784313726,298.368235294176,-519.819215686275,295.642212885235,307.545098039216,293.305882352941,49.1937254901961,86.951260504198,61.3660784313726,17.2646498599451,9.5252100840349,27.7256296296333,10.4785555555556,34.1530612244898,21.458,76.202,26.5192307692308,5.98076923076923,"iq"
"7",2006,0.234426342307692,0.271818725,0.266266034615385,73.5044230769231,297.989890109904,-520.155192307692,295.560137362615,306.959615384615,292.909615384615,48.8811538461538,88.3189285714269,73.5044230769231,17.1827197802154,9.31263736263692,27.4902836879426,10.1570921985809,33.6596153846154,21.3843137254902,80.2,26.5,8.38461538461539,"iq"
"8",2007,0.241585020576923,0.245029009615385,0.274473549230769,67.9626923076923,297.789752747269,-520.376153846154,295.539120879154,306.746153846154,292.811538461538,59.8880769230769,89.2019505494481,67.9626923076923,17.1376648351692,9.18159340659019,27.3571153846154,10.0260576923058,33.4923076923077,21.1769230769231,84.5686274509804,26.5,7.01923076923077,"iq"
"9",2008,0.253515498076923,0.243922519038462,0.267334180769231,62.4309615384615,297.614945054942,-520.636538461538,295.691373626346,306.346153846154,292.863461538462,65.7496153846154,90.7264010988981,62.4309615384615,17.2827197802192,8.46456043956039,27.3667441860488,10.2425581395358,33.9282608695652,21.0134615384615,50.7117647058824,26.5,15.4038461538462,"iq"
"10",2009,0.243736512692308,0.250131631923077,0.268906651153846,70.3109803921569,297.794229691902,-520.454117647059,296.048319327725,306.582352941176,293.470588235294,64.8101960784314,91.6150980392216,70.3109803921569,17.6533893557431,8.27254901960863,27.7853267973882,11.3513071895398,34.6392156862745,21.2058823529412,38.5244897959184,26.5,6.23076923076923,"iq"
"11",2010,0.225070104,0.22044152,0.249492956,60.1024,298.43525714288,-519.714,296.7135428572,307.432,293.94,101.0868,91.754628571428,60.1024,18.415200000004,8.3194285714312,27.713133333328,10.3795333333332,34.436,21.592,31.1826086956522,14.5384615384615,8.57692307692308,"iq"
