,Country Name_x,Country Code,Indicator Name_x,Indicator Code_x,1960_x,1961_x,1962_x,1963_x,1964_x,1965_x,1966_x,1967_x,1968_x,1969_x,1970_x,1971_x,1972_x,1973_x,1974_x,1975_x,1976_x,1977_x,1978_x,1979_x,1980_x,1981_x,1982_x,1983_x,1984_x,1985_x,1986_x,1987_x,1988_x,1989_x,1990_x,1991_x,1992_x,1993_x,1994_x,1995_x,1996_x,1997_x,1998_x,1999_x,2000_x,2001_x,2002_x,2003_x,2004_x,2005_x,2006_x,2007_x,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,Country Name_y,Indicator Name_y,Indicator Code_y,1960_y,1961_y,1962_y,1963_y,1964_y,1965_y,1966_y,1967_y,1968_y,1969_y,1970_y,1971_y,1972_y,1973_y,1974_y,1975_y,1976_y,1977_y,1978_y,1979_y,1980_y,1981_y,1982_y,1983_y,1984_y,1985_y,1986_y,1987_y,1988_y,1989_y,1990_y,1991_y,1992_y,1993_y,1994_y,1995_y,1996_y,1997_y,1998_y,1999_y,2000_y,2001_y,2002_y,2003_y,2004_y,2005_y,2006_y,2007_y,2008_y,2009_y,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,Rank2018,Underlying situation score 2016,Abuse score 2016,Overall Score 2016,Progression RANK,Rank 2017,Score 2017
0,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638.0,1399999967.0,1673333418.0,1373333367.0,1408888922.0,1748886596.0,1831108971.0,1595555476.0,1733333264.0,2155555498.0,2366666616.0,2555555567.0,2953333418.0,3300000109.0,3697940410.0,3641723322.0,3478787909.0,5550483036.0,5784341596.0,6131475065.0,7553560459.0,7072063345.0,8083872012.0,8769250550.0,10201099040.0,11228764963.0,10603784541.0,8307810974.0,5768720422.0,1330167598.0,1320670391.0,1379888268.0,1531843575.0,1665363128.0,1722798883.0,1873452514.0,1920262570.0,1941094972.0,2021301676.0,2228279330.0,2331005587.0,2421474860.0,2623726257.0,2791960894.0,2498932961.0,2467703911.0,2584463687.0,20536542737.0,20264253974.0,20616104298.0,19215562179.0,19469022208.0,20815300220.0,Afghanistan,GDP per capita (current US$),NY.GDP.PCAP.CD,59.77732651,59.87815281,58.49287383,78.78275804,82.20844386,101.2904713,137.8993619,161.3220001,129.50665379999998,129.7985414,157.1874224,160.3728356,136.11701440000002,144.1103189,174.9420383,187.975604,199.0261727,226.00534380000002,249.28738629999998,277.90074169999997,274.8808587,266.4930418,579.2520009,582.4201264999999,596.6024672,711.9927001,647.5633537,720.5989385,761.6184577,862.5090577,922.55017,844.6911343,640.6222978999999,430.38159529999996,320.657792,388.1667663,512.6209659,506.8849522,419.6398453,385.76885350000003,555.2969419,117.4096908,187.845095,198.7285436,219.1413528,250.2941299,272.563077,369.835796,373.3611163,445.89329789999994,553.3002893999999,603.5370231,669.0090508999999,638.6125432,629.3452503999999,569.5779229,561.7787463,585.8500637999999,118,29.53,68.3,37.28,2,120,39.46
1,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638.0,1399999967.0,1673333418.0,1373333367.0,1408888922.0,1748886596.0,1831108971.0,1595555476.0,1733333264.0,2155555498.0,2366666616.0,2555555567.0,2953333418.0,3300000109.0,3697940410.0,3641723322.0,3478787909.0,5550483036.0,5784341596.0,6131475065.0,7553560459.0,7072063345.0,8083872012.0,8769250550.0,10201099040.0,11228764963.0,10603784541.0,8307810974.0,5768720422.0,1330167598.0,1320670391.0,1379888268.0,1531843575.0,1665363128.0,1722798883.0,1873452514.0,1920262570.0,1941094972.0,2021301676.0,2228279330.0,2331005587.0,2421474860.0,2623726257.0,2791960894.0,2498932961.0,2467703911.0,2584463687.0,20536542737.0,20264253974.0,20616104298.0,19215562179.0,19469022208.0,20815300220.0,Angola,GDP per capita (current US$),NY.GDP.PCAP.CD,1807.349784,1874.304768,1148.579957,845.0771842,1166.3174,1272.010496,1266.3449890000002,1057.755661,222.61952459999998,238.83530069999998,3238.55685,3498.1736520000004,4217.173581,5342.16856,6319.739034,7169.101006,7152.375134000001,7751.370215999999,9129.706185,11820.849390000001,664.1175602000001,600.4087655000001,579.2520009,582.4201264999999,596.6024672,711.9927001,647.5633537,720.5989385,761.6184577,862.5090577,922.55017,844.6911343,640.6222978999999,430.38159529999996,320.657792,388.1667663,512.6209659,506.8849522,419.6398453,385.76885350000003,555.2969419,526.168743,711.1817892000001,779.468317,1041.087109,1443.991924,2062.415212,2878.837305,3868.579014,3347.8449,3531.416878,4299.008136,4539.467689,4804.633826,4707.578098,3683.552607,3308.772828,4170.31228,121,38.35,0.0,38.35,4,125,40.42
2,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638.0,1399999967.0,1673333418.0,1373333367.0,1408888922.0,1748886596.0,1831108971.0,1595555476.0,1733333264.0,2155555498.0,2366666616.0,2555555567.0,2953333418.0,3300000109.0,3697940410.0,3641723322.0,3478787909.0,5550483036.0,5784341596.0,6131475065.0,7553560459.0,7072063345.0,8083872012.0,8769250550.0,10201099040.0,11228764963.0,10603784541.0,8307810974.0,5768720422.0,1330167598.0,1320670391.0,1379888268.0,1531843575.0,1665363128.0,1722798883.0,1873452514.0,1920262570.0,1941094972.0,2021301676.0,2228279330.0,2331005587.0,2421474860.0,2623726257.0,2791960894.0,2498932961.0,2467703911.0,2584463687.0,20536542737.0,20264253974.0,20616104298.0,19215562179.0,19469022208.0,20815300220.0,Albania,GDP per capita (current US$),NY.GDP.PCAP.CD,1807.349784,1874.304768,1148.579957,845.0771842,1166.3174,1272.010496,1266.3449890000002,1057.755661,222.61952459999998,238.83530069999998,3238.55685,3498.1736520000004,4217.173581,5342.16856,6319.739034,7169.101006,7152.375134000001,7751.370215999999,9129.706185,11820.849390000001,12377.41165,10372.232829999999,9610.266308,8022.654781,662.5200522999999,662.9147925999999,719.1572957000001,699.3842921,676.5667325000001,723.4096102000001,639.4638993,348.7113178,218.4921659,380.52737110000004,619.0651634,760.5593758,1046.358511,749.584649,865.3021617999999,1098.425463,1175.7889810000001,1326.970339,1453.642777,1890.681557,2416.588235,2709.142931,3005.0129030000003,3603.0136850000004,4370.539647,4114.136545,4094.358832,4437.178068,4247.614308,4413.081697,4578.666728,3952.830781,4131.872340999999,4537.862492,75,29.49,16.1,29.49,1,76,29.92
3,Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638.0,1399999967.0,1673333418.0,1373333367.0,1408888922.0,1748886596.0,1831108971.0,1595555476.0,1733333264.0,2155555498.0,2366666616.0,2555555567.0,2953333418.0,3300000109.0,3697940410.0,3641723322.0,3478787909.0,5550483036.0,5784341596.0,6131475065.0,7553560459.0,7072063345.0,8083872012.0,8769250550.0,10201099040.0,11228764963.0,10603784541.0,8307810974.0,5768720422.0,4438321017.0,5538749260.0,7526446606.0,7648377413.0,6506229607.0,6152922943.0,9129594819.0,2461665938.0,4128820723.0,4583644246.0,5285465686.0,6275073572.0,7057598407.0,9843842455.0,10190529882.0,12486943506.0,15936800636.0,17930239400.0,20536542737.0,20264253974.0,20616104298.0,19215562179.0,19469022208.0,20815300220.0,Andorra,GDP per capita (current US$),NY.GDP.PCAP.CD,1807.349784,1874.304768,1148.579957,845.0771842,1166.3174,1272.010496,1266.3449890000002,1057.755661,222.61952459999998,238.83530069999998,3238.55685,3498.1736520000004,4217.173581,5342.16856,6319.739034,7169.101006,7152.375134000001,7751.370215999999,9129.706185,11820.849390000001,12377.41165,10372.232829999999,9610.266308,8022.654781,7728.906695000001,7774.393829000001,10361.81598,12616.16757,14304.35696,15166.43785,18878.50597,19532.54015,20547.71179,16516.47103,16234.809009999999,18461.06486,19017.174590000002,18353.059719999997,18894.5215,19261.7105,21936.5301,22228.84649,24741.49357,32776.44227,38503.47961,41282.02012,43748.77216,48582.80846,47785.65909,43339.37987,39736.354060000005,41098.766939999994,38391.08087,40619.7113,42294.99473,36038.2676,37231.815669999996,39146.548839999996,37,22.21,0.0,22.21,-2,35,21.03
4,United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,18573188487.0,19648336880.0,24450604878.0,18272123664.0,25605249382.0,28344705967.0,28630474728.0,24256667553.0,25752663334.0,28425351599.0,78619206.09,89409820.36,113408231.9,150820102.8,186558696.3,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,1924242453.0,1965384586.0,2173750013.0,2156624900.0,2126000000.0,2335124988.0,2101624963.0,1139166646.0,709452583.9,1228071038.0,1985673798.0,2424499009.0,3314898292.0,2359903108.0,2707123772.0,3414760915.0,3632043908.0,4060758804.0,4435078648.0,5746945913.0,7314865176.0,8158548717.0,8992642349.0,10701011897.0,12881352688.0,12044212904.0,11926953259.0,12890867539.0,12319784787.0,12776277515.0,13228244357.0,11386931490.0,11883682171.0,13039352744.0,United Arab Emirates,GDP per capita (current US$),NY.GDP.PCAP.CD,1807.349784,1874.304768,1148.579957,845.0771842,1166.3174,1272.010496,1266.3449890000002,1057.755661,1136.517832,1324.082935,1317.487755,1366.354726,1401.487795,2083.972218,2824.6509149999997,26556.08003,29698.16922,33245.8361,27897.32709,32798.47823,41825.995460000006,44012.33307,39193.74097,34159.03735,31709.25433,29189.167789999996,23056.10453,23312.92953,21907.597980000002,23612.7452,27256.29094,26168.26662,25993.55801,25199.349580000002,25467.192219999997,26847.08005,28615.58214,29199.524610000004,26663.3087,28260.00502,33071.26869,31061.52935,31311.359360000002,33230.523180000004,36161.17061,39439.80197,42372.22166,42672.61323,45758.90554,33072.57517,35037.89267,40434.36635,42086.68995,43315.141489999995,44443.06151,39122.04971,38517.80039,40698.84934,128,40.37,40.8,40.86,-9,119,39.39
5,Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,18573188487.0,19648336880.0,24450604878.0,18272123664.0,25605249382.0,28344705967.0,28630474728.0,24256667553.0,25752663334.0,28425351599.0,78619206.09,89409820.36,113408231.9,150820102.8,186558696.3,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,330070689.3,346737964.8,482000594.0,611316399.4,721425939.2,795449332.4,1029048482.0,1106928583.0,1210013652.0,1007025755.0,1017549124.0,1178738991.0,1223945357.0,1180597273.0,1211932398.0,1239876305.0,1434429703.0,1496912752.0,1733116883.0,2398645598.0,2935659300.0,3255789081.0,3543256806.0,4016972351.0,4007353157.0,3660530703.0,3355695364.0,3442062830.0,3164615187.0,3281585236.0,3350736367.0,2811489409.0,2877311947.0,3012914131.0,Argentina,GDP per capita (current US$),NY.GDP.PCAP.CD,1807.349784,1874.304768,1148.579957,845.0771842,1166.3174,1272.010496,1266.3449890000002,1057.755661,1136.517832,1324.082935,1317.487755,1366.354726,1401.487795,2083.972218,2824.6509149999997,2011.6890399999997,1932.590782,2112.501173,2129.313793,2501.4807530000003,2738.284723,2756.396981,2907.757627,3530.131783,2643.369398,2909.51661,3595.085898,3546.7188200000005,3969.3274119999996,2375.3391030000003,4318.7747,5715.504397,6798.026763,6940.350358,7449.480390000001,7373.4282459999995,7683.574065000001,8172.664323,8248.761989,7736.3696230000005,7669.273915999999,7170.694673999999,2579.193168,3330.4370059999997,4251.574348,5076.883829,5878.7610270000005,7193.61764,8953.359275,8161.306965999999,10276.2605,12726.90836,12969.707120000001,12976.63642,12245.25645,13698.293440000001,12654.355,14401.97485,52,22.54,40.1,26.05,-2,50,25.07
6,Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,18573188487.0,19648336880.0,24450604878.0,18272123664.0,25605249382.0,28344705967.0,28630474728.0,24256667553.0,25752663334.0,28425351599.0,31375728863.0,36415569616.0,43302571643.0,55001266851.0,105000000000.0,116000000000.0,145000000000.0,167000000000.0,183000000000.0,249000000000.0,338000000000.0,348000000000.0,324000000000.0,304000000000.0,308000000000.0,304000000000.0,289000000000.0,313000000000.0,307000000000.0,322000000000.0,447000000000.0,440000000000.0,471000000000.0,476000000000.0,487000000000.0,523000000000.0,578000000000.0,613000000000.0,591000000000.0,643000000000.0,735000000000.0,723000000000.0,729000000000.0,823000000000.0,964000000000.0,1180000000000.0,1400000000000.0,1640000000000.0,2080000000000.0,1800000000000.0,2110000000000.0,2500000000000.0,2790000000000.0,2870000000000.0,2910000000000.0,2550000000000.0,2500000000000.0,2590000000000.0,Armenia,GDP per capita (current US$),NY.GDP.PCAP.CD,1807.349784,1874.304768,1851.424816,1963.6390789999998,2127.566902,2277.0666760000004,2339.861938,2575.620077,2719.429797,2986.218889,3299.037297,3489.086601,3942.81242,4762.4793039999995,6471.554165,6992.538975,7474.862357999999,1063.4201130000001,1198.507083,1483.5159800000001,1789.5895679999999,2023.39995,2268.7899780000002,2542.52727,2946.240394,3452.5225119999996,4220.961621,4969.781883,5944.6708929999995,6585.840242,637.8557412,590.1222257000001,369.63336810000004,357.2043399,400.5160919,456.37589979999996,504.059514,523.2835691,609.1730254,597.4334817000001,622.7427477000001,694.4305118999999,783.2616098999999,930.1661567,1191.96192,1643.758543,2158.002909,3138.808703,4010.026997,2993.832531,3218.381655,3526.978143,3684.80481,3843.591213,3994.7123549999997,3617.935746,3605.743117,3936.7983200000003,80,29.99,0.0,29.99,-1,79,30.38
7,Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18573188487.0,19648336880.0,19888005376.0,21501847911.0,23758539590.0,25931235301.0,27261731437.0,30389741292.0,32657632434.0,36620002240.0,41261059469.0,45138313361.0,51954439252.0,63721973094.0,88809137804.0,97147343985.0,105000000000.0,77496740.74,87879333.33,109079963.0,131431037.0,147841740.7,164369296.3,182144111.1,208372851.9,240923925.9,290440148.1,337174851.9,398637740.7,438794777.8,2256838858.0,2068526522.0,1272577456.0,1201313201.0,1315158670.0,1468317350.0,1596968913.0,1639492424.0,1893726437.0,1845482181.0,1911563665.0,2118467913.0,2376335048.0,2807061009.0,3576615240.0,4900469950.0,6384451606.0,9206301700.0,11662040714.0,8647936748.0,9260284938.0,10142111334.0,10619320049.0,11121465767.0,11609512940.0,10553337673.0,10546135160.0,11536590636.0,Australia,GDP per capita (current US$),NY.GDP.PCAP.CD,1807.349784,1874.304768,1851.424816,1963.6390789999998,2127.566902,2277.0666760000004,2339.861938,2575.620077,2719.429797,2986.218889,3299.037297,3489.086601,3942.81242,4762.4793039999995,6471.554165,6992.538975,7474.862357999999,7763.1307719999995,8239.954825,9279.253595,10191.81606,11830.86532,12763.32361,11515.80647,12428.85793,11434.88989,11360.52766,11623.35967,14257.022159999999,17801.26827,18214.83698,18824.2474,18569.768790000002,17633.381380000003,18045.43906,20319.63063,21861.32551,23468.596830000002,21318.96417,20521.77757,21669.41091,19482.5679,20074.22931,23437.31215,30401.55479,33961.6818,36019.20305,40905.47089,49535.25787,42709.8033,51936.88871,62411.78545,67864.68986,67990.29002999999,62327.55594,56561.412379999994,49896.6811,53799.938089999996,19,15.46,0.0,15.46,0,19,16.02
8,Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,18573188487.0,19648336880.0,19888005376.0,21501847911.0,23758539590.0,25931235301.0,27261731437.0,30389741292.0,32657632434.0,36620002240.0,41261059469.0,45138313361.0,51954439252.0,63721973094.0,88809137804.0,97147343985.0,105000000000.0,77496740.74,87879333.33,109079963.0,131431037.0,147841740.7,164369296.3,182144111.1,208372851.9,240923925.9,290440148.1,337174851.9,398637740.7,438794777.8,459469074.1,481706333.3,499281148.1,535172777.8,589429592.6,577280740.7,633730629.6,680617111.1,727860592.6,766198925.9,830158777.8,800740259.3,514000000.0,527000000.0,512000000.0,503000000.0,496000000.0,520000000.0,563000000.0,678000000.0,576000000.0,574000000.0,644000000.0,641000000.0,643000000.0,659000000.0,658000000.0,1532397556.0,Austria,GDP per capita (current US$),NY.GDP.PCAP.CD,935.4604268999999,1031.8150039999998,1087.834243,1167.000532,1269.412583,1374.53214,1486.9686060000001,1569.667183,1677.673528,1825.386126,2058.7690789999997,2380.978443,2924.048871,3890.7224560000004,4630.757207,5285.620724,5678.386638,6810.627729000001,8205.468927,9793.765307,10869.54642,9385.249018,9410.347225,9537.407431,8991.065076,9172.096769,13083.0727,16392.76957,17578.61894,17468.946190000002,21680.989690000002,22410.91174,24880.16407,24081.52781,25646.70066,30325.849580000002,29809.07677,26705.4786,27361.87511,27174.297160000002,24564.458290000002,24537.51426,26401.74546,32222.89724,36821.52147,38403.13388,40635.28182,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.695289999996,50716.70871,51704.541189999996,44206.78428,44731.01086,47290.91165,11,14.04,0.0,14.04,0,11,13.47
9,Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,18573188487.0,19648336880.0,19888005376.0,21501847911.0,23758539590.0,25931235301.0,27261731437.0,30389741292.0,32657632434.0,36620002240.0,41261059469.0,45138313361.0,51954439252.0,63721973094.0,88809137804.0,97147343985.0,105000000000.0,77496740.74,87879333.33,109079963.0,131431037.0,147841740.7,164369296.3,182144111.1,208372851.9,240923925.9,290440148.1,337174851.9,398637740.7,438794777.8,459469074.1,481706333.3,499281148.1,535172777.8,589429592.6,577280740.7,633730629.6,680617111.1,727860592.6,766198925.9,830158777.8,800740259.3,814615333.3,855643111.1,919577148.1,1022191296.0,1157005444.0,1311401333.0,1368431037.0,1224253000.0,1152469074.0,1142042926.0,1211411704.0,1192925407.0,1280133333.0,1364863037.0,1460144704.0,1532397556.0,Azerbaijan,GDP per capita (current US$),NY.GDP.PCAP.CD,70.34907861,71.48727773,73.78176495,78.9002836,86.60319464,51.65736468,52.47672296,55.13168671,55.24340419,56.07888142,70.24312709,72.12955294,69.63919255,85.04700015,95.41395105,114.66358559999999,119.9073909,143.28912780000002,155.9176618,194.9753861,223.4072262,229.4581867,233.817671,243.4238066,215.94418629999998,244.5689375,248.21013390000002,226.84971580000004,210.75009590000002,210.96952030000003,1237.324492,1209.2374929999999,676.1515115,530.0903798,436.19055860000003,397.19811610000005,409.2167452,505.56057319999996,561.9103017000001,573.8902562000001,655.0974326,703.6838433999999,763.0730858,883.6439965,1045.0216300000002,1578.40239,2473.081819,3851.437869,5574.6038020000005,4950.294790999999,5842.805784,7189.691229000001,7496.294648,7875.756953,7891.313147,5500.310382,3880.7387310000004,4131.61831,163,57.81,59.6,59.73,-1,162,56.4
